Element Type,ID,Name,Class Name,CSS Selector,XPath,Outer HTML,Timestamp
"button","No ID","No Name","btn btn-success","button","html > body > section#slider:nth-of-type(1) > div.container > div.row > div.col-sm-12 > div#slider-carousel:nth-of-type(1) > div.carousel-inner > div.item.active:nth-of-type(1) > div.col-sm-6:nth-of-type(1) > a.test_cases_list:nth-of-type(1) > button.btn.btn-success","<button type=""button"" class=""btn btn-success"">Test Cases</button>","2025-04-05T17:23:40.629Z"
"button","No ID","No Name","btn btn-success","button","html > body > section#slider:nth-of-type(1) > div.container > div.row > div.col-sm-12 > div#slider-carousel:nth-of-type(1) > div.carousel-inner > div.item.active:nth-of-type(1) > div.col-sm-6:nth-of-type(1) > a.apis_list:nth-of-type(2) > button.btn.btn-success","<button type=""button"" class=""btn btn-success"">APIs list for practice</button>","2025-04-05T17:23:40.629Z"
"button","No ID","No Name","btn btn-success","button","html > body > section#slider:nth-of-type(1) > div.container > div.row > div.col-sm-12 > div#slider-carousel:nth-of-type(1) > div.carousel-inner > div.item:nth-of-type(2) > div.col-sm-6:nth-of-type(1) > a.test_cases_list:nth-of-type(1) > button.btn.btn-success","<button type=""button"" class=""btn btn-success"">Test Cases</button>","2025-04-05T17:23:40.629Z"
"button","No ID","No Name","btn btn-success","button","html > body > section#slider:nth-of-type(1) > div.container > div.row > div.col-sm-12 > div#slider-carousel:nth-of-type(1) > div.carousel-inner > div.item:nth-of-type(2) > div.col-sm-6:nth-of-type(1) > a.apis_list:nth-of-type(2) > button.btn.btn-success","<button type=""button"" class=""btn btn-success"">APIs list for practice</button>","2025-04-05T17:23:40.629Z"
"button","No ID","No Name","btn btn-success","button","html > body > section#slider:nth-of-type(1) > div.container > div.row > div.col-sm-12 > div#slider-carousel:nth-of-type(1) > div.carousel-inner > div.item:nth-of-type(3) > div.col-sm-6:nth-of-type(1) > a.test_cases_list:nth-of-type(1) > button.btn.btn-success","<button type=""button"" class=""btn btn-success"">Test Cases</button>","2025-04-05T17:23:40.629Z"
"button","No ID","No Name","btn btn-success","button","html > body > section#slider:nth-of-type(1) > div.container > div.row > div.col-sm-12 > div#slider-carousel:nth-of-type(1) > div.carousel-inner > div.item:nth-of-type(3) > div.col-sm-6:nth-of-type(1) > a.apis_list:nth-of-type(2) > button.btn.btn-success","<button type=""button"" class=""btn btn-success"">APIs list for practice</button>","2025-04-05T17:23:40.629Z"
"button","No ID","No Name","btn btn-success close-modal btn-block","button","html > body > section:nth-of-type(2) > div.container > div.row > div.col-sm-9.padding-right:nth-of-type(2) > div.features_items:nth-of-type(1) > div#cartModal:nth-of-type(1) > div.modal-dialog.modal-confirm > div.modal-content > div.modal-footer:nth-of-type(3) > button.btn.btn-success.close-modal.btn-block","<button class=""btn btn-success close-modal btn-block"" data-dismiss=""modal"">Continue Shopping</button>","2025-04-05T17:23:40.629Z"
"button","subscribe","No Name","btn btn-default","button#subscribe","html > body > footer#footer > div.footer-widget:nth-of-type(1) > div.container > div.row > div.col-sm-3.col-sm-offset-1:nth-of-type(2) > div.single-widget > form.searchform > button#subscribe","<button type=""submit"" id=""subscribe"" class=""btn btn-default""><i class=""fa fa-arrow-circle-o-right""></i></button>","2025-04-05T17:23:40.630Z"
"input","No ID","csrfmiddlewaretoken","N/A","input","html > body > footer#footer > div.footer-widget:nth-of-type(1) > div.container > div.row > div.col-sm-3.col-sm-offset-1:nth-of-type(2) > div.single-widget > form.searchform > input:nth-of-type(1)","<input type=""hidden"" name=""csrfmiddlewaretoken"" value=""0XCQCv133vOVuTLB559YTxCG5rQH4rv9JGYSXLmAYCDhmkmbpLWH6JnRGF0s2Xk4"">","2025-04-05T17:23:40.630Z"
"input","susbscribe_email","No Name","N/A","input#susbscribe_email","html > body > footer#footer > div.footer-widget:nth-of-type(1) > div.container > div.row > div.col-sm-3.col-sm-offset-1:nth-of-type(2) > div.single-widget > form.searchform > input#susbscribe_email:nth-of-type(2)","<input type=""email"" id=""susbscribe_email"" required="""" placeholder=""Your email address"">","2025-04-05T17:23:40.630Z"
"a","No ID","No Name","N/A","a","html > body > header#header > div.header-middle > div.container > div.row > div.col-sm-4:nth-of-type(1) > div.logo.pull-left > a","<a href=""/""><img src=""/static/images/home/logo.png"" alt=""Website for automation practice""></a>","2025-04-05T17:23:40.630Z"
"a","No ID","No Name","N/A","a","html > body > header#header > div.header-middle > div.container > div.row > div.col-sm-8:nth-of-type(2) > div.shop-menu.pull-right > ul.nav.navbar-nav > li:nth-of-type(1) > a","<a href=""/"" style=""color: orange;""><i class=""fa fa-home""></i> Home</a>","2025-04-05T17:23:40.630Z"
"a","No ID","No Name","N/A","a","html > body > header#header > div.header-middle > div.container > div.row > div.col-sm-8:nth-of-type(2) > div.shop-menu.pull-right > ul.nav.navbar-nav > li:nth-of-type(2) > a","<a href=""/products""><i class=""material-icons card_travel"" style=""font-size: 16px;""></i> Products</a>","2025-04-05T17:23:40.630Z"
"a","No ID","No Name","N/A","a","html > body > header#header > div.header-middle > div.container > div.row > div.col-sm-8:nth-of-type(2) > div.shop-menu.pull-right > ul.nav.navbar-nav > li:nth-of-type(3) > a","<a href=""/view_cart""><i class=""fa fa-shopping-cart""></i> Cart</a>","2025-04-05T17:23:40.630Z"
"a","No ID","No Name","N/A","a","html > body > header#header > div.header-middle > div.container > div.row > div.col-sm-8:nth-of-type(2) > div.shop-menu.pull-right > ul.nav.navbar-nav > li:nth-of-type(4) > a","<a href=""/login""><i class=""fa fa-lock""></i> Signup / Login</a>","2025-04-05T17:23:40.630Z"
"a","No ID","No Name","N/A","a","html > body > header#header > div.header-middle > div.container > div.row > div.col-sm-8:nth-of-type(2) > div.shop-menu.pull-right > ul.nav.navbar-nav > li:nth-of-type(5) > a","<a href=""/test_cases""><i class=""fa fa-list""></i> Test Cases</a>","2025-04-05T17:23:40.630Z"
